Program,BatchKeyPath,ExecutionTime,BatchValueName
Microsoft.WindowsStore_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-1108,2020-09-18 23:10:07.7735658,Microsoft.WindowsStore_8wekyb3d8bbwe
\Device\HarddiskVolume3\Windows\System32\notepad.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-1108,2020-09-18 22:52:02.4560609,\Device\HarddiskVolume3\Windows\System32\notepad.exe
\Device\HarddiskVolume3\Windows\System32\cmd.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-1108,2020-09-18 23:00:23.9475160,\Device\HarddiskVolume3\Windows\System32\cmd.exe
\Device\HarddiskVolume3\Windows\System32\PickerHost.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-1108,2020-09-18 23:07:44.1538562,\Device\HarddiskVolume3\Windows\System32\PickerHost.exe
Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-1108,2020-09-18 23:10:07.7893992,Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe
Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-500,2020-09-19 03:52:13.4427614,Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy
\Device\HarddiskVolume3\Windows\explorer.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-500,2020-09-19 03:52:13.2407316,\Device\HarddiskVolume3\Windows\explorer.exe
Microsoft.Windows.Search_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-500,2020-09-19 03:52:13.4427614,Microsoft.Windows.Search_cw5n1h2txyewy
\Device\HarddiskVolume3\Windows\System32\ApplicationFrameHost.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-500,2020-09-19 03:52:13.2716552,\Device\HarddiskVolume3\Windows\System32\ApplicationFrameHost.exe
Microsoft.MicrosoftEdge_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-500,2020-09-19 03:52:13.4427614,Microsoft.MicrosoftEdge_8wekyb3d8bbwe
MicrosoftWindows.Client.CBS_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-500,2020-09-19 03:52:13.1485652,MicrosoftWindows.Client.CBS_cw5n1h2txyewy
Microsoft.Windows.SecHealthUI_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-500,2020-09-19 03:52:12.7707393,Microsoft.Windows.SecHealthUI_cw5n1h2txyewy
Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-500,2020-09-19 03:52:13.4427614,Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy
\Device\HarddiskVolume3\Windows\System32\PickerHost.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-500,2020-09-19 03:40:00.8010894,\Device\HarddiskVolume3\Windows\System32\PickerHost.exe
Microsoft.Windows.Apprep.ChxApp_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-500,2020-09-19 03:41:29.5214723,Microsoft.Windows.Apprep.ChxApp_cw5n1h2txyewy
\Device\HarddiskVolume3\Windows\System32\cmd.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-500,2020-09-19 03:44:45.9731070,\Device\HarddiskVolume3\Windows\System32\cmd.exe
\Device\HarddiskVolume3\Windows\System32\notepad.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-500,2020-09-19 03:47:48.9261856,\Device\HarddiskVolume3\Windows\System32\notepad.exe
Microsoft.Windows.Photos_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-500,2020-09-19 03:46:32.9283407,Microsoft.Windows.Photos_8wekyb3d8bbwe
\Device\HarddiskVolume3\Windows\explorer.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-41211245-796119838-3940169921-1000,2020-09-18 05:49:37.8149751,\Device\HarddiskVolume3\Windows\explorer.exe
Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-41211245-796119838-3940169921-1000,2020-09-18 05:49:37.8934745,Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy
Microsoft.Windows.OOBENetworkConnectionFlow_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-41211245-796119838-3940169921-1000,2020-09-18 05:48:41.9095080,Microsoft.Windows.OOBENetworkConnectionFlow_cw5n1h2txyewy
MicrosoftWindows.Client.CBS_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-41211245-796119838-3940169921-1000,2020-09-18 05:49:37.4243862,MicrosoftWindows.Client.CBS_cw5n1h2txyewy
\Device\HarddiskVolume3\Windows\explorer.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-41211245-796119838-3940169921-1001,2020-09-19 03:17:00.4836466,\Device\HarddiskVolume3\Windows\explorer.exe
Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-41211245-796119838-3940169921-1001,2020-09-19 03:17:00.5930628,Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy
Microsoft.Windows.Search_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-41211245-796119838-3940169921-1001,2020-09-19 03:17:00.6090643,Microsoft.Windows.Search_cw5n1h2txyewy
\Device\HarddiskVolume3\Windows\System32\ApplicationFrameHost.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-41211245-796119838-3940169921-1001,2020-09-19 03:17:00.5152403,\Device\HarddiskVolume3\Windows\System32\ApplicationFrameHost.exe
Microsoft.MicrosoftEdge_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-41211245-796119838-3940169921-1001,2020-09-19 03:17:00.6090643,Microsoft.MicrosoftEdge_8wekyb3d8bbwe
Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-41211245-796119838-3940169921-1001,2020-09-18 04:58:32.7031562,Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy
MicrosoftWindows.Client.CBS_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-41211245-796119838-3940169921-1001,2020-09-19 03:17:00.3916118,MicrosoftWindows.Client.CBS_cw5n1h2txyewy
windows.immersivecontrolpanel_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-41211245-796119838-3940169921-1001,2020-09-19 03:16:33.8120203,windows.immersivecontrolpanel_cw5n1h2txyewy
\Device\HarddiskVolume3\Windows\System32\dllhost.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-41211245-796119838-3940169921-1001,2020-09-19 03:16:59.9215362,\Device\HarddiskVolume3\Windows\System32\dllhost.exe
Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-41211245-796119838-3940169921-1001,2020-09-18 21:42:22.7355872,Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy
\Device\HarddiskVolume3\Windows\System32\SystemSettingsAdminFlows.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-41211245-796119838-3940169921-1001,2020-09-18 21:42:27.2977669,\Device\HarddiskVolume3\Windows\System32\SystemSettingsAdminFlows.exe
Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-41211245-796119838-3940169921-1001,2020-09-19 03:17:00.5930628,Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe
Microsoft.WindowsStore_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-41211245-796119838-3940169921-1001,2020-09-19 01:08:34.6051724,Microsoft.WindowsStore_8wekyb3d8bbwe
\Device\HarddiskVolume3\Program Files\VMware\VMware Tools\vmtoolsd.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-41211245-796119838-3940169921-1001,2020-09-19 03:16:59.5306435,\Device\HarddiskVolume3\Program Files\VMware\VMware Tools\vmtoolsd.exe
\Device\HarddiskVolume3\Windows\System32\cmd.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-41211245-796119838-3940169921-1001,2020-09-19 01:08:30.0372609,\Device\HarddiskVolume3\Windows\System32\cmd.exe
\Device\HarddiskVolume3\Windows\System32\wscript.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-41211245-796119838-3940169921-1001,2020-09-19 01:08:29.0863034,\Device\HarddiskVolume3\Windows\System32\wscript.exe
\Device\HarddiskVolume3\Windows\System32\dwm.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-90-0-1,2020-09-19 03:17:01.0774970,\Device\HarddiskVolume3\Windows\System32\dwm.exe
\Device\HarddiskVolume3\Windows\System32\dwm.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-90-0-2,2020-09-19 05:08:23.5612113,\Device\HarddiskVolume3\Windows\System32\dwm.exe
\Device\HarddiskVolume3\Windows\System32\dwm.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-90-0-3,2020-09-19 03:52:13.7406372,\Device\HarddiskVolume3\Windows\System32\dwm.exe
