BagPath,Slot,NodeSlot,MRUPosition,AbsolutePath,ShellType,Value,ChildBags,CreatedOn,ModifiedOn,AccessedOn,LastWriteTime,MFTEntry,MFTSequenceNumber,ExtensionBlockCount,FirstInteracted,LastInteracted,HasExplored,Miscellaneous
BagMRU\0\0\2\0,4,18,1,Desktop\My Computer\C:\Users\Administrator\Saved Games,Directory,Saved Games,0,2020-09-17 16:46:16,2020-09-17 16:46:26,2020-09-17 16:46:26,2020-09-19 03:31:18,84875,1,1,2020-09-19 03:31:16,,False,NTFS file system
BagMRU\0\0\2\0,5,19,0,Desktop\My Computer\C:\Users\Administrator\Videos,Directory,Videos,0,2020-09-17 16:46:16,2020-09-17 16:46:26,2020-09-17 16:46:26,2020-09-19 03:31:18,84873,2,1,2020-09-19 03:31:18,2020-09-19 03:31:18,False,NTFS file system
BagMRU\0\0\2\1,0,21,1,Desktop\My Computer\C:\Users\Public\Documents,Directory,Documents,0,2013-08-22 15:39:32,2013-08-22 15:39:34,2013-08-22 15:39:34,2020-09-19 03:31:29,291,1,1,2020-09-19 03:31:27,,False,NTFS file system
BagMRU\0\0\2\1,1,22,0,Desktop\My Computer\C:\Users\Public\Downloads,Directory,Downloads,0,2013-08-22 15:39:32,2013-08-22 15:39:34,2013-08-22 15:39:34,2020-09-19 03:31:29,292,1,1,2020-09-19 03:31:29,2020-09-19 03:31:29,False,NTFS file system
BagMRU\0\2,0,24,0,Desktop\My Computer\E:\FTK Imager,Directory,FTK Imager,0,2020-09-13 03:02:46,2020-09-13 03:02:50,2020-09-13 17:12:00,2020-09-19 04:36:59,39,2,1,2020-09-19 04:36:59,2020-09-19 04:36:59,False,NTFS file system
BagMRU\1,0,0,1,Desktop\Control Panel\Network and Internet,Control Panel Category,Network and Internet,2,,,,2020-09-18 22:26:52,,,0,,,False,
BagMRU\1,1,0,0,Desktop\Control Panel\System and Security,Control Panel Category,System and Security,1,,,,2020-09-18 22:26:52,,,0,,2020-09-18 22:26:52,False,
BagMRU\1\0,0,2,1,Desktop\Control Panel\Network and Internet\Network and Sharing Center,GUID: Control panel,Network and Sharing Center,0,,,,2020-09-18 00:44:13,,,0,2020-09-17 17:07:16,,True,
BagMRU\1\0,1,3,0,Desktop\Control Panel\Network and Internet\Network Connections,GUID: Control panel,Network Connections,0,,,,2020-09-18 00:44:13,,,0,2020-09-18 00:44:13,2020-09-18 00:44:13,True,
BagMRU\1\1,0,4,0,Desktop\Control Panel\System and Security\System,GUID: Control panel,System,0,,,,2020-09-18 22:26:52,,,0,2020-09-18 22:26:52,2020-09-18 22:26:52,True,
