RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
30,30,2015-08-24 07:02:18.0000000,1003,Info,Microsoft-Windows-Security-Licensing-SLC,Application,0,0,WIN-L0ZZQ76PMUF,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""55c92734-d682-4d71-983e-d6ec3f16059f, \n{1,[15a581b4-f839-4d26-943c-b7e72f219849, 8, 0xC004F014,0x0]}\n\n{1,[56df4151-1f9f-41bf-acaa-2941c071872b, 8, 0xC004F014,0x0]}\n\n{1,[603504f9-109f-49f0-9271-8c66f7878f58, 0, 0x0,0x0],[0x1,0xC004F034,0x0,0,0,0x0],[0x10,0xC004F030,0x0,0,0,0x0],[0x0,0x0,0x0,0,0,0x15180],[60,3,0x15180]}\n\n{1,[7acd9eb8-e300-444c-b38a-47cdbe065508, 8, 0xC004F014,0x0]}\n\n{1,[ad2542d4-9154-4c6d-8a44-30f11ee96989, 8, 0xC004F014,0x0]}\n\n{1,[bb1d27c4-959d-4f82-b0fd-c02a7be54732, 8, 0xC004F014,0x0]}\n\n{1,[c90d1b4e-8aa8-439e-8b9e-b6d6b6a6d975, 8, 0xC004F014,0x0]}\n"",""Binary"":""""}}"
31,31,2015-08-24 07:02:18.0000000,1005,Info,Microsoft-Windows-Security-Licensing-SLC,Application,0,0,WIN-L0ZZQ76PMUF,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""hr=0x0"",""Binary"":""""}}"
32,32,2015-08-24 07:02:19.0000000,902,LogAlways,Microsoft-Windows-Security-Licensing-SLC,Application,0,0,WIN-L0ZZQ76PMUF,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
33,33,2015-08-24 07:02:23.0000000,5615,LogAlways,Microsoft-Windows-WMI,Application,0,0,WIN-L0ZZQ76PMUF,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
34,34,2015-08-24 07:02:25.0000000,5617,LogAlways,Microsoft-Windows-WMI,Application,0,0,WIN-L0ZZQ76PMUF,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
35,35,2015-08-24 07:02:24.1093750,1,Info,Microsoft-Windows-CertificateServicesClient,Application,1800,1868,WIN-L0ZZQ76PMUF,0,S-1-5-18,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,Classic,0,"{""EventData"":""""}"
36,36,2015-08-24 07:04:12.0000000,4101,Info,Microsoft-Windows-Winlogon,Application,0,0,WIN-L0ZZQ76PMUF,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""0x00000000, 0x00000001"",""Binary"":""""}}"
37,37,2015-08-24 07:04:12.0000000,6000,Info,Microsoft-Windows-Winlogon,Application,0,0,WIN-L0ZZQ76PMUF,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""SessionEnv"",""Binary"":""D9-06-00-00""}}"
38,38,2015-08-24 07:04:12.0000000,9003,Info,Desktop Window Manager,Application,0,0,WIN-L0ZZQ76PMUF,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
39,39,2015-08-24 07:04:12.4375000,1,Info,Microsoft-Windows-CertificateServicesClient,Application,508,1092,WIN-L0ZZQ76PMUF,0,S-1-5-21-3848053756-3249532031-1848221756-500,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,Classic,0,"{""EventData"":""""}"
40,40,2015-08-24 07:04:55.0000000,4202,Info,Microsoft-Windows-MSDTC 2,Application,0,0,WIN-L0ZZQ76PMUF,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":[{""@Name"":""param1"",""#text"":""0""},{""@Name"":""param2"",""#text"":""0""},{""@Name"":""param3"",""#text"":""0""},{""@Name"":""param4"",""#text"":""0""},{""@Name"":""param5"",""#text"":""0""},{""@Name"":""param6"",""#text"":""0""},{""@Name"":""param7"",""#text"":""1""},{""@Name"":""param8"",""#text"":""Mutual Authentication Required""},{""@Name"":""param9"",""#text"":""NT AUTHORITY\\NetworkService""},{""@Name"":""param10"",""#text"":""0""},{""@Name"":""param11"",""#text"":""0""}]}}"
41,41,2015-08-24 07:06:30.0000000,1001,Info,Microsoft-Windows-LoadPerf,Application,0,0,WIN-L0ZZQ76PMUF,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""UserData"":{""EventXML"":{""param1"":""WmiApRpl"",""param2"":""WmiApRpl"",""binaryDataSize"":""12"",""binaryData"":""EA-0E-00-00-EB-0E-00-00-4C-07-00-00""}}}"
42,42,2015-08-24 07:06:30.0000000,1000,Info,Microsoft-Windows-LoadPerf,Application,0,0,WIN-L0ZZQ76PMUF,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""UserData"":{""EventXML"":{""param1"":""WmiApRpl"",""param2"":""WmiApRpl"",""binaryDataSize"":""16"",""binaryData"":""EC-0E-00-00-92-0F-00-00-ED-0E-00-00-93-0F-00-00""}}}"
43,43,2015-08-24 07:13:39.0000000,13,Info,Microsoft-Windows-CAPI2,Application,0,0,WIN-L0ZZQ76PMUF,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""OU=Class 3 Public Primary Certification Authority, O=\""VeriSign, Inc.\"", C=US, 742C3192E607E424EB4549542BE1BBC53E6174E2"",""Binary"":""""}}"
44,44,2015-08-24 07:13:39.0000000,12,Info,Microsoft-Windows-CAPI2,Application,0,0,WIN-L0ZZQ76PMUF,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""OU=Class 3 Public Primary Certification Authority, O=\""VeriSign, Inc.\"", C=US, 4F65566336DB6598581D584A596C87934D5F2AB4"",""Binary"":""""}}"
