Action,BatchKeyPath,Active,BatchValueName,Dir,Protocol,LPort,RPort,Name,Desc,App
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,RPC,,"@FirewallAPI.dll,-30003","@FirewallAPI.dll,-30006",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,RPC-EPMap,,"@FirewallAPI.dll,-30007","@FirewallAPI.dll,-30010",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,In,TCP,9955,,"@FirewallAPI.dll,-37003","@FirewallAPI.dll,-37004",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,Out,TCP,,,"@FirewallAPI.dll,-37005","@FirewallAPI.dll,-37006",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,In,UDP,,,"@FirewallAPI.dll,-37007","@FirewallAPI.dll,-37008",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,Out,UDP,,,"@FirewallAPI.dll,-37009","@FirewallAPI.dll,-37010",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,445,,"@netlogon.dll,-1003","@netlogon.dll,-1006",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,RPC,,"@netlogon.dll,-1008","@netlogon.dll,-1009",%SystemRoot%\System32\lsass.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,In,TCP,,,"@FirewallAPI.dll,-36252","@FirewallAPI.dll,-36253",%SystemRoot%\system32\proximityuxhost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,Out,TCP,,,"@FirewallAPI.dll,-36254","@FirewallAPI.dll,-36255",%SystemRoot%\system32\proximityuxhost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,2869,,"@FirewallAPI.dll,-32761","@FirewallAPI.dll,-32764",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,Out,TCP,,2869,"@FirewallAPI.dll,-32765","@FirewallAPI.dll,-32768",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,UDP,137,,"@FirewallAPI.dll,-32769","@FirewallAPI.dll,-32772",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,Out,UDP,,137,"@FirewallAPI.dll,-32773","@FirewallAPI.dll,-32776",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,UDP,138,,"@FirewallAPI.dll,-32777","@FirewallAPI.dll,-32780",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,Out,UDP,,138,"@FirewallAPI.dll,-32781","@FirewallAPI.dll,-32784",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,5358,,"@FirewallAPI.dll,-32813","@FirewallAPI.dll,-32814",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,Out,TCP,,5358,"@FirewallAPI.dll,-32815","@FirewallAPI.dll,-32816",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,5357,,"@FirewallAPI.dll,-32817","@FirewallAPI.dll,-32818",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,Out,TCP,,5357,"@FirewallAPI.dll,-32819","@FirewallAPI.dll,-32820",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,In,UDP,1900,,"@FirewallAPI.dll,-32753","@FirewallAPI.dll,-32756",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,Out,UDP,,1900,"@FirewallAPI.dll,-32757","@FirewallAPI.dll,-32760",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,In,TCP,2869,,"@FirewallAPI.dll,-32761","@FirewallAPI.dll,-32764",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,Out,TCP,,2869,"@FirewallAPI.dll,-32765","@FirewallAPI.dll,-32768",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,Out,TCP,,2869,"@FirewallAPI.dll,-32821","@FirewallAPI.dll,-32822",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,In,UDP,137,,"@FirewallAPI.dll,-32769","@FirewallAPI.dll,-32772",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,Out,UDP,,137,"@FirewallAPI.dll,-32773","@FirewallAPI.dll,-32776",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,In,UDP,138,,"@FirewallAPI.dll,-32777","@FirewallAPI.dll,-32780",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,Out,UDP,,138,"@FirewallAPI.dll,-32781","@FirewallAPI.dll,-32784",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,In,UDP,3702,,"@FirewallAPI.dll,-32785","@FirewallAPI.dll,-32788",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,In,UDP,3702,,"@FirewallAPI.dll,-32825","@FirewallAPI.dll,-32826",%SystemRoot%\system32\dashost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,Out,UDP,,3702,"@FirewallAPI.dll,-32789","@FirewallAPI.dll,-32792",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,In,UDP,5355,,"@FirewallAPI.dll,-32801","@FirewallAPI.dll,-32804",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,Out,UDP,,5355,"@FirewallAPI.dll,-32805","@FirewallAPI.dll,-32808",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,In,UDP,3702,,"@FirewallAPI.dll,-32809","@FirewallAPI.dll,-32810",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,Out,UDP,,3702,"@FirewallAPI.dll,-32811","@FirewallAPI.dll,-32812",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,In,TCP,5358,,"@FirewallAPI.dll,-32813","@FirewallAPI.dll,-32814",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,Out,TCP,,5358,"@FirewallAPI.dll,-32815","@FirewallAPI.dll,-32816",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,In,TCP,5357,,"@FirewallAPI.dll,-32817","@FirewallAPI.dll,-32818",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,Out,TCP,,5357,"@FirewallAPI.dll,-32819","@FirewallAPI.dll,-32820",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,UDP,1900,,"@FirewallAPI.dll,-32753","@FirewallAPI.dll,-32756",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,In,UDP,,,"@FirewallAPI.dll,-32754","@FirewallAPI.dll,-32756",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,Out,UDP,,1900,"@FirewallAPI.dll,-32757","@FirewallAPI.dll,-32760",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,Out,TCP,,2869,"@FirewallAPI.dll,-32821","@FirewallAPI.dll,-32822",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,2869,,"@FirewallAPI.dll,-32761","@FirewallAPI.dll,-32764",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,In,TCP,,,"@FirewallAPI.dll,-32762","@FirewallAPI.dll,-32764",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,Out,TCP,,2869,"@FirewallAPI.dll,-32765","@FirewallAPI.dll,-32768",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,UDP,137,,"@FirewallAPI.dll,-32769","@FirewallAPI.dll,-32772",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,Out,UDP,,137,"@FirewallAPI.dll,-32773","@FirewallAPI.dll,-32776",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,UDP,138,,"@FirewallAPI.dll,-32777","@FirewallAPI.dll,-32780",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,Out,UDP,,138,"@FirewallAPI.dll,-32781","@FirewallAPI.dll,-32784",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,UDP,3702,,"@FirewallAPI.dll,-32785","@FirewallAPI.dll,-32788",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,UDP,3702,,"@FirewallAPI.dll,-32825","@FirewallAPI.dll,-32826",%SystemRoot%\system32\dashost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,Out,UDP,,3702,"@FirewallAPI.dll,-32789","@FirewallAPI.dll,-32792",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,UDP,5355,,"@FirewallAPI.dll,-32801","@FirewallAPI.dll,-32804",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,Out,UDP,,5355,"@FirewallAPI.dll,-32805","@FirewallAPI.dll,-32808",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,UDP,3702,,"@FirewallAPI.dll,-32809","@FirewallAPI.dll,-32810",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,Out,UDP,,3702,"@FirewallAPI.dll,-32811","@FirewallAPI.dll,-32812",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,5358,,"@FirewallAPI.dll,-32813","@FirewallAPI.dll,-32814",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,Out,TCP,,5358,"@FirewallAPI.dll,-32815","@FirewallAPI.dll,-32816",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,5357,,"@FirewallAPI.dll,-32817","@FirewallAPI.dll,-32818",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,Out,TCP,,5357,"@FirewallAPI.dll,-32819","@FirewallAPI.dll,-32820",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,In,TCP,,,"@wifidisplay.dll,-10200","@wifidisplay.dll,-10201",%systemroot%\system32\WUDFHost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,Out,TCP,,,"@wifidisplay.dll,-10202","@wifidisplay.dll,-10203",%systemroot%\system32\WUDFHost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,Out,UDP,,,"@wifidisplay.dll,-10204","@wifidisplay.dll,-10205",%systemroot%\system32\WUDFHost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,In,TCP,7250,,"@wifidisplay.dll,-10206","@wifidisplay.dll,-10207",%systemroot%\system32\CastSrv.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,135,,"@FirewallAPI.dll,-34252","@FirewallAPI.dll,-34253",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,,,"@FirewallAPI.dll,-34254","@FirewallAPI.dll,-34255",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,Out,TCP,,,"@FirewallAPI.dll,-34258","@FirewallAPI.dll,-34259",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,,,"@FirewallAPI.dll,-34256","@FirewallAPI.dll,-34257",%systemroot%\system32\wbem\unsecapp.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,135,,"@FirewallAPI.dll,-34252","@FirewallAPI.dll,-34253",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,,,"@FirewallAPI.dll,-34254","@FirewallAPI.dll,-34255",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,Out,TCP,,,"@FirewallAPI.dll,-34258","@FirewallAPI.dll,-34259",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,,,"@FirewallAPI.dll,-34256","@FirewallAPI.dll,-34257",%systemroot%\system32\wbem\unsecapp.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,RPC,,"@firewallapi.dll,-36753","@firewallapi.dll,-36754",%systemroot%\system32\wininit.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,RPC-EPMap,,"@firewallapi.dll,-36755","@firewallapi.dll,-36756",%systemroot%\system32\wininit.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,139,,"@FirewallAPI.dll,-28503","@FirewallAPI.dll,-28506",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,Out,TCP,,139,"@FirewallAPI.dll,-28507","@FirewallAPI.dll,-28510",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,445,,"@FirewallAPI.dll,-28511","@FirewallAPI.dll,-28514",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,Out,TCP,,445,"@FirewallAPI.dll,-28515","@FirewallAPI.dll,-28518",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,UDP,137,,"@FirewallAPI.dll,-28519","@FirewallAPI.dll,-28522",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,Out,UDP,,137,"@FirewallAPI.dll,-28523","@FirewallAPI.dll,-28526",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,UDP,138,,"@FirewallAPI.dll,-28527","@FirewallAPI.dll,-28530",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,Out,UDP,,138,"@FirewallAPI.dll,-28531","@FirewallAPI.dll,-28534",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,RPC,,"@FirewallAPI.dll,-28535","@FirewallAPI.dll,-28538",%SystemRoot%\system32\spoolsv.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,RPC-EPMap,,"@FirewallAPI.dll,-28539","@FirewallAPI.dll,-28542",
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,ICMP,,,"@FirewallAPI.dll,-28543","@FirewallAPI.dll,-28547",
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,Out,ICMP,,,"@FirewallAPI.dll,-28544","@FirewallAPI.dll,-28547",
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,IPv6-ICMP,,,"@FirewallAPI.dll,-28545","@FirewallAPI.dll,-28547",
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,Out,IPv6-ICMP,,,"@FirewallAPI.dll,-28546","@FirewallAPI.dll,-28547",
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,139,,"@FirewallAPI.dll,-28503","@FirewallAPI.dll,-28506",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,Out,TCP,,139,"@FirewallAPI.dll,-28507","@FirewallAPI.dll,-28510",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,445,,"@FirewallAPI.dll,-28511","@FirewallAPI.dll,-28514",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,Out,TCP,,445,"@FirewallAPI.dll,-28515","@FirewallAPI.dll,-28518",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,UDP,137,,"@FirewallAPI.dll,-28519","@FirewallAPI.dll,-28522",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,Out,UDP,,137,"@FirewallAPI.dll,-28523","@FirewallAPI.dll,-28526",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,UDP,138,,"@FirewallAPI.dll,-28527","@FirewallAPI.dll,-28530",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,Out,UDP,,138,"@FirewallAPI.dll,-28531","@FirewallAPI.dll,-28534",System
